,gender,age,age_range,race,higher_education,political_party,ideology,trump_approval,monetary_anxiety,fairness_voting,preferential_voting,woman_president_25,universal_healthcare_25,humanity_survival_100,humanity_survival_1000,america_survival_100,america_survival_1000,trump_2020,trump_nuclear,america_vs_russia_50,america_vs_china_50,better_world
0,Female,81,65+,White,Some college,Democrat,Liberal,Strongly Disapprove,Not Very Often,No,No,Yes,Yes,DK/REF,,DK/REF,,Not at all likely,Not at all likely,Yes,Yes,Worse World
1,Male,80,65+,Asian,Some college,Democrat,Moderate,Somewhat Disapprove,Somewhat Often,"Yes, somewhat confident",Yes,Yes,No,Yes,No,Yes,Yes,Not at all likely,Somewhat Likely,No,No,Better World
2,Female,65,65+,Black,High school or less,Democrat,Moderate,Strongly Disapprove,Somewhat Often,"Yes, somewhat confident",Yes,Yes,No,No,,Yes,No,Not at all likely,Very Likely,Yes,No,Better World
3,Male,24,18-24,Asian,College degree,Independent,Moderate,Strongly Disapprove,Not Very Often,"Yes, somewhat confident",Yes,Yes,No,Yes,Yes,Yes,No,Somewhat Likely,Not at all likely,No,No,Better World
4,Male,74,65+,White,Graduate degree,Democrat,Liberal,Strongly Disapprove,Not Very Often,"Yes, very confident",Yes,Yes,Yes,Yes,DK/REF,Yes,DK/REF,Not at all likely,Somewhat Likely,Yes,No,DK/REF
5,Female,69,65+,Black,Graduate degree,Democrat,Moderate,Strongly Disapprove,Very Often,No,Yes,Yes,No,No,,No,,Not at all likely,Very Likely,Yes,Yes,Worse World
6,Female,41,35-44,Asian,College degree,Democrat,Moderate,Neither approve nor disapprove,Very Often,"Yes, somewhat confident",No,No,No,No,,Yes,Yes,Somewhat Likely,Very Likely,No,No,Better World
7,Female,46,45-54,Black,Some college,Independent,Conservative,Neither approve nor disapprove,Somewhat Often,No,Yes,Yes,No,No,,Yes,No,Not at all likely,Somewhat Likely,Yes,No,Better World
8,Female,63,55-64,White,Graduate degree,Democrat,Moderate,Strongly Disapprove,Not Very Often,"Yes, somewhat confident",No,Yes,Yes,Yes,No,Yes,No,Not at all likely,Somewhat Likely,No,No,Better World
9,Female,60,55-64,White,Some college,Democrat,Liberal,Strongly Disapprove,Very Often,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Not at all likely,Not at all likely,Yes,Yes,Better World
10,Male,63,55-64,White,Graduate degree,Democrat,Moderate,Strongly Disapprove,Not Very Often,"Yes, somewhat confident",No,Yes,No,No,,Yes,No,Somewhat Likely,Somewhat Likely,No,No,Worse World
11,Female,54,45-54,White,Graduate degree,Democrat,Liberal,Strongly Disapprove,Somewhat Often,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Somewhat Likely,Somewhat Likely,Yes,Yes,Better World
12,Female,59,55-64,White,College degree,Democrat,Liberal,Strongly Disapprove,Somewhat Often,"Yes, somewhat confident",Yes,Yes,No,No,,Yes,No,Not at all likely,Somewhat Likely,Yes,No,Worse World
13,Male,65,65+,White,College degree,Democrat,Liberal,Strongly Disapprove,Somewhat Often,"Yes, somewhat confident",No,Yes,Yes,Yes,Yes,Yes,Yes,Not at all likely,Not at all likely,No,No,Better World
14,Female,67,65+,White,High school or less,Independent,Conservative,Strongly Approve,Very Often,"Yes, very confident",No,No,No,No,,No,,Very Likely,Not at all likely,No,Yes,Worse World
15,Female,82,65+,White,High school or less,Independent,Conservative,Strongly Disapprove,Somewhat Often,No,DK/REF,No,No,No,,No,,Very Likely,Very Likely,No,No,Worse World
16,Male,55,55-64,White,High school or less,Democrat,Liberal,Strongly Disapprove,Very Often,"Yes, very confident",No,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat Likely,Not at all likely,No,No,Worse World
17,Female,54,45-54,White,High school or less,Republican,Conservative,Strongly Approve,Not Very Often,"Yes, very confident",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Very Likely,Not at all likely,No,No,Better World
18,Male,56,55-64,Latino,College degree,Independent,Conservative,Strongly Approve,Not Very Often,"Yes, very confident",No,Yes,Yes,Yes,Yes,Yes,Yes,Very Likely,Not at all likely,No,No,Worse World
19,Male,62,55-64,White,Graduate degree,Republican,Conservative,Strongly Approve,Very Often,"Yes, very confident",No,DK/REF,DK/REF,Yes,Yes,Yes,DK/REF,DK/REF,Not at all likely,No,No,DK/REF
20,Female,55,55-64,White,College degree,Independent,Moderate,Somewhat Approve,Not Very Often,"Yes, very confident",Yes,No,No,Yes,Yes,Yes,Yes,Somewhat Likely,Somewhat Likely,Yes,No,Better World
21,Female,73,65+,White,Some college,Democrat,Liberal,Strongly Disapprove,Not Very Often,No,No,Yes,No,Yes,Yes,Yes,Yes,Somewhat Likely,Somewhat Likely,Yes,Yes,Worse World
